Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-91.55577720,45.10230362,K-3,<1>,P9492AM-PBXP,11,106.79,15.00,6.048,2.000,1130.8,On,2.062,Yes,10/22/2024,0.00,0.00,25,106.79,RTK Fixed,6.000,2.600,1.200,2.900,1.590,15.64,58.71,497.90,1,1515.6,27.06,1527.1,27.27,3.749,102.22,10/22/2024
-91.55575118,45.10229951,K-3,<1>,P9492AM-PBXP,12,103.40,15.00,7.185,2.000,1131.6,On,2.449,Yes,10/22/2024,0.00,0.00,25,103.40,RTK Fixed,6.000,2.600,1.200,2.900,1.180,15.64,58.71,498.50,1,946.84,16.91,954.08,17.04,4.454,75.88,10/22/2024
-91.55572495,45.10229605,K-3,<1>,P9492AM-PBXP,13,97.59,15.00,6.717,2.000,1132.4,On,2.290,Yes,10/22/2024,0.00,0.00,25,97.59,RTK Fixed,6.000,2.600,1.200,2.900,1.239,15.71,58.71,498.00,1,1062.5,18.97,1071.4,19.13,4.163,79.65,10/22/2024
-91.55569801,45.10229386,K-3,<1>,P9492AM-PBXP,14,97.99,15.00,6.975,2.000,1133.3,On,2.378,Yes,10/22/2024,0.00,0.00,25,97.99,RTK Fixed,6.000,2.600,1.200,2.900,1.402,14.88,58.71,497.90,1,1167.4,20.85,1167.4,20.85,4.324,90.13,10/22/2024
-91.55567326,45.10228981,K-3,<1>,P9492AM-PBXP,15,103.70,15.00,7.273,2.000,1134.3,On,2.479,Yes,10/22/2024,0.00,0.00,25,103.70,RTK Fixed,6.000,2.600,1.200,2.900,1.516,14.69,58.71,496.00,1,1210.3,21.61,1210.3,21.61,4.508,97.43,10/22/2024
-91.55564694,45.10228847,K-3,<1>,P9492AM-PBXP,16,96.12,15.00,7.273,2.000,1135.3,On,2.479,Yes,10/22/2024,0.00,0.00,25,96.12,RTK Fixed,6.000,2.600,1.200,2.900,2.332,15.07,58.71,495.20,1,1860.5,33.22,1862.1,33.25,4.508,149.89,10/22/2024
-91.55562004,45.10228212,K-3,<1>,P9492AM-PBXP,17,109.48,15.00,8.051,2.000,1136.0,On,2.745,Yes,10/22/2024,0.00,0.00,25,109.48,RTK Fixed,6.000,2.600,1.200,2.900,1.380,15.33,58.71,495.90,1,991.99,17.71,995.80,17.78,4.990,88.74,10/22/2024
-91.55565389,45.10233150,K-3,<1>,P9492AM-PBXP,18,281.25,15.00,6.995,2.000,1136.0,On,2.385,Yes,10/22/2024,0.00,0.00,23,281.25,RTK Fixed,6.000,2.600,1.200,2.900,0.372,15.64,58.71,509.80,5,306.55,5.474,308.90,5.516,4.336,23.92,10/22/2024
-91.55568038,45.10233465,K-3,<1>,P9492AM-PBXP,19,277.48,15.00,6.979,2.000,1135.1,On,2.379,Yes,10/22/2024,0.00,0.00,25,277.48,RTK Fixed,6.000,2.600,1.200,2.900,3.340,15.58,58.71,511.30,5,2760.2,49.29,2779.2,49.63,4.326,214.68,10/22/2024
-91.55570630,45.10233733,K-3,<1>,P9492AM-PBXP,20,279.56,15.00,7.014,2.000,1134.1,On,2.391,Yes,10/22/2024,0.00,0.00,25,279.56,RTK Fixed,6.000,2.600,1.200,2.900,5.283,15.71,58.71,510.70,5,4338.5,77.47,4375.0,78.13,4.347,339.64,10/22/2024
-91.55573364,45.10234147,K-3,<1>,P9492AM-PBXP,21,282.15,15.00,6.932,2.000,1132.8,On,2.363,Yes,10/22/2024,0.00,0.00,25,282.15,RTK Fixed,6.000,2.600,1.200,2.900,6.326,15.77,58.71,510.40,5,5252.6,93.80,5300.5,94.65,4.296,406.67,10/22/2024
-91.55575858,45.10234541,K-3,<1>,P9492AM-PBXP,22,282.68,15.00,6.456,2.000,1132.0,On,2.201,Yes,10/22/2024,0.00,0.00,24,282.68,RTK Fixed,6.000,2.600,1.200,2.900,5.978,13.99,58.71,508.80,5,5378.1,96.04,5378.1,96.04,4.002,384.31,10/22/2024
-91.55578123,45.10234972,K-3,<1>,P9492AM-PBXP,23,286.02,15.00,5.721,2.000,1131.3,On,1.950,Yes,10/22/2024,0.00,0.00,24,286.02,RTK Fixed,6.000,2.600,1.200,2.900,6.919,11.32,58.71,508.40,5,7023.5,125.42,7023.5,125.42,3.546,444.78,10/22/2024
-91.55580538,45.10235448,K-3,<1>,P9492AM-PBXP,24,286.60,15.00,6.232,2.000,1130.4,On,2.124,Yes,10/22/2024,0.00,0.00,24,286.60,RTK Fixed,6.000,2.600,1.200,2.900,7.296,11.85,58.71,507.60,5,6800.3,121.44,6800.3,121.44,3.863,469.06,10/22/2024
-91.55582845,45.10235963,K-3,<1>,P9492AM-PBXP,25,288.24,15.00,6.483,2.000,1129.5,On,2.210,Yes,10/22/2024,0.00,0.00,24,288.24,RTK Fixed,6.000,2.600,1.200,2.800,8.569,13.04,58.71,506.80,5,7676.7,137.08,7676.7,137.08,4.019,550.88,10/22/2024
-91.55585069,45.10236623,K-3,<1>,P9492AM-PBXP,26,292.61,15.00,5.871,2.000,1128.7,On,2.001,Yes,10/22/2024,0.00,0.00,24,292.61,RTK Fixed,6.000,2.600,1.200,2.800,8.763,13.99,58.71,506.40,5,8669.3,154.81,8669.3,154.81,3.639,563.35,10/22/2024
-91.55587369,45.10237344,K-3,<1>,P9492AM-PBXP,27,294.89,15.00,5.692,2.000,1128.0,On,1.941,Yes,10/22/2024,0.00,0.00,24,294.89,RTK Fixed,6.000,2.600,1.200,2.800,10.22,14.88,58.71,505.10,5,10428,186.21,10428,186.21,3.528,656.98,10/22/2024
-91.55589587,45.10238224,K-3,<1>,P9492AM-PBXP,28,300.95,15.00,6.376,2.000,1127.3,On,2.174,Yes,10/22/2024,0.00,0.00,24,300.95,RTK Fixed,6.000,2.600,1.200,2.800,7.780,15.14,58.71,505.90,5,7075.8,126.35,7087.3,126.56,3.952,500.15,10/22/2024
-91.55591567,45.10239212,K-3,<1>,P9492AM-PBXP,29,305.81,15.00,6.121,2.000,1126.9,On,2.087,Yes,10/22/2024,0.00,0.00,24,305.81,RTK Fixed,6.000,2.600,1.200,2.800,6.002,14.82,58.71,504.80,5,5695.1,101.70,5695.1,101.70,3.794,385.82,10/22/2024
-91.55596090,45.10236656,K-3,<1>,P9492AM-PBXP,30,305.83,12.50,8.419,2.000,1126.2,On,2.870,Yes,10/22/2024,0.00,-0.250,24,305.83,RTK Fixed,5.000,2.600,1.200,2.800,0.372,11.73,58.71,510.20,7,308.21,5.504,308.21,5.504,4.349,23.93,10/22/2024
-91.55598233,45.10238337,K-3,<1>,P9492AM-PBXP,31,318.41,10.000,8.288,2.000,1125.7,On,2.825,Yes,10/22/2024,0.00,2.500,24,318.41,RTK Fixed,4.000,2.600,1.200,2.800,6.656,12.23,58.71,508.40,7,6996.8,124.94,6996.8,124.94,3.425,427.89,10/22/2024
-91.55600195,45.10240195,K-3,<1>,P9492AM-PBXP,32,323.77,15.00,8.488,2.000,1125.3,On,2.894,Yes,10/22/2024,0.00,0.00,24,323.77,RTK Fixed,6.000,2.600,1.200,2.800,12.77,14.88,59.61,507.30,7,8736.5,156.01,8736.5,156.01,5.261,820.82,10/22/2024
-91.55601851,45.10242237,K-3,<1>,P9492AM-PBXP,33,330.77,15.00,8.891,2.000,1124.9,On,3.031,Yes,10/22/2024,0.00,0.00,24,330.77,RTK Fixed,6.000,2.600,1.200,2.800,15.66,15.96,59.61,506.70,7,10111,180.55,10227,182.62,5.511,1006.4,10/22/2024
-91.55603365,45.10244471,K-3,<1>,P9492AM-PBXP,34,334.39,15.00,9.290,2.000,1124.6,On,3.167,Yes,10/22/2024,0.00,0.00,24,334.39,RTK Fixed,6.000,2.600,1.200,2.800,17.57,15.39,58.71,502.50,7,10937,195.30,10987,196.20,5.758,1129.8,10/22/2024
-91.55604531,45.10246775,K-3,<1>,P9492AM-PBXP,35,340.60,15.00,8.681,2.000,1124.3,On,2.960,Yes,10/22/2024,0.00,0.00,24,340.60,RTK Fixed,6.000,2.600,1.200,2.800,16.94,16.09,59.61,500.10,7,11189,199.81,11334,202.40,5.381,1089.1,10/22/2024
-91.55605605,45.10249094,K-3,<1>,P9492AM-PBXP,36,342.35,15.00,8.909,2.000,1124.0,On,3.037,Yes,10/22/2024,0.00,0.00,25,342.35,RTK Fixed,6.000,2.600,1.200,2.800,17.58,16.22,59.61,498.20,7,11300,201.78,11464,204.71,5.522,1130.5,10/22/2024
-91.55606594,45.10251420,K-3,<1>,P9492AM-PBXP,37,343.33,15.00,8.643,2.000,1123.8,On,2.947,Yes,10/22/2024,0.00,0.00,25,343.33,RTK Fixed,6.000,2.600,1.200,2.800,15.44,16.15,59.61,497.20,7,10236,182.79,10377,185.30,5.357,992.70,10/22/2024
-91.55607409,45.10253788,K-3,<1>,P9492AM-PBXP,38,346.34,15.00,8.975,2.000,1123.7,On,3.060,Yes,10/22/2024,0.00,0.00,25,346.34,RTK Fixed,6.000,2.600,1.200,2.800,16.81,17.17,58.71,495.80,7,10600,189.28,10878,194.24,5.563,1080.6,10/22/2024
-91.55608214,45.10256176,K-3,<1>,P9492AM-PBXP,39,347.15,15.00,9.267,2.000,1123.6,On,3.159,Yes,10/22/2024,0.00,0.00,25,347.15,RTK Fixed,6.000,2.600,1.200,2.800,16.56,16.85,58.71,494.00,7,10156,181.35,10382,185.40,5.744,1064.9,10/22/2024
-91.55609019,45.10258593,K-3,<1>,P9492AM-PBXP,40,346.55,15.00,9.148,2.000,1123.5,On,3.119,Yes,10/22/2024,0.00,0.00,25,346.55,RTK Fixed,6.000,2.600,1.200,2.800,16.17,17.30,58.71,494.80,7,9990.7,178.41,10268,183.36,5.670,1039.7,10/22/2024
-91.55609784,45.10260989,K-3,<1>,P9492AM-PBXP,41,347.83,15.00,8.942,2.000,1123.5,On,3.048,Yes,10/22/2024,0.00,0.00,25,347.83,RTK Fixed,6.000,2.600,1.200,2.800,14.35,16.22,58.71,494.90,7,9184.1,164.00,9317.5,166.38,5.543,922.20,10/22/2024
-91.55610593,45.10263436,K-3,<1>,P9492AM-PBXP,42,346.32,15.00,9.192,2.000,1123.4,On,3.134,Yes,10/22/2024,0.00,0.00,25,346.32,RTK Fixed,6.000,2.600,1.100,2.800,14.45,17.93,58.71,495.10,7,8816.3,157.43,9131.3,163.06,5.697,929.01,10/22/2024
-91.55611501,45.10265828,K-3,<1>,P9492AM-PBXP,43,345.77,15.00,9.438,2.000,1123.5,On,3.217,Yes,10/22/2024,0.00,0.00,25,345.77,RTK Fixed,6.000,2.600,1.100,2.800,12.42,17.68,58.71,494.10,7,7400.8,132.16,7641.7,136.46,5.850,798.27,10/22/2024
-91.55612388,45.10268226,K-3,<1>,P9492AM-PBXP,44,345.34,15.00,8.408,2.000,1123.6,On,2.866,Yes,10/22/2024,0.00,0.00,25,345.34,RTK Fixed,6.000,2.600,1.100,2.800,13.35,17.30,58.71,495.50,7,8974.1,160.25,9223.2,164.70,5.212,858.35,10/22/2024
-91.55613324,45.10270658,K-3,<1>,P9492AM-PBXP,45,344.23,15.00,9.611,2.000,1123.6,On,3.276,Yes,10/22/2024,0.00,0.00,25,344.23,RTK Fixed,6.000,2.600,1.100,2.800,13.66,17.11,58.71,494.20,7,8052.8,143.80,8257.4,147.46,5.957,878.42,10/22/2024
-91.55614317,45.10273123,K-3,<1>,P9492AM-PBXP,46,344.08,15.00,9.493,2.000,1123.6,On,3.236,Yes,10/22/2024,0.00,0.00,25,344.08,RTK Fixed,6.000,2.600,1.100,2.800,14.12,16.79,58.71,496.90,7,8458.7,151.05,8640.5,154.30,5.884,907.84,10/22/2024
-91.55615264,45.10275600,K-3,<1>,P9492AM-PBXP,47,344.40,15.00,9.547,2.000,1123.8,On,3.255,Yes,10/22/2024,0.00,0.00,25,344.40,RTK Fixed,6.000,2.600,1.100,2.800,11.63,16.22,58.71,496.20,7,6976.6,124.58,7077.9,126.39,5.918,747.95,10/22/2024
-91.55616227,45.10278054,K-3,<1>,P9492AM-PBXP,48,344.26,15.00,8.960,2.000,1123.9,On,3.055,Yes,10/22/2024,0.00,0.00,25,344.26,RTK Fixed,6.000,2.600,1.100,2.800,13.28,16.79,58.71,495.20,7,8426.8,150.48,8608.0,153.71,5.554,853.72,10/22/2024
-91.55617278,45.10280507,K-3,<1>,P9492AM-PBXP,49,343.68,15.00,9.307,2.000,1124.1,On,3.173,Yes,10/22/2024,0.00,0.00,25,343.68,RTK Fixed,6.000,2.600,1.100,2.800,12.51,16.28,58.71,495.10,7,7688.9,137.30,7806.6,139.40,5.769,804.17,10/22/2024
-91.55618312,45.10282957,K-3,<1>,P9492AM-PBXP,50,343.56,15.00,9.166,2.000,1124.3,On,3.125,Yes,10/22/2024,0.00,0.00,25,343.56,RTK Fixed,6.000,2.600,1.100,2.800,13.49,17.04,58.71,496.20,7,8342.5,148.97,8547.9,152.64,5.682,867.24,10/22/2024
-91.55619326,45.10285393,K-3,<1>,P9492AM-PBXP,51,342.41,12.50,9.310,2.000,1124.5,On,3.174,Yes,10/22/2024,0.00,1.250,25,342.41,RTK Fixed,5.000,2.600,1.100,2.800,15.00,15.46,58.71,494.70,7,11165,199.38,11225,200.45,4.809,963.99,10/22/2024
-91.55620403,45.10287795,K-3,<1>,P9492AM-PBXP,52,342.12,12.50,9.378,2.000,1125.0,On,3.197,Yes,10/22/2024,0.00,1.250,25,342.12,RTK Fixed,5.000,2.600,1.100,2.800,14.66,16.09,58.71,495.00,7,10755,192.05,10894,194.53,4.844,942.30,10/22/2024
-91.55621543,45.10290205,K-3,<1>,P9492AM-PBXP,53,342.25,12.50,9.503,2.000,1125.3,On,3.240,Yes,10/22/2024,0.00,1.250,25,342.25,RTK Fixed,5.000,2.600,1.100,2.800,16.77,16.09,58.71,493.90,7,12140,216.79,12297,219.60,4.909,1078.0,10/22/2024
-91.55622977,45.10292614,K-3,<1>,P9492AM-PBXP,54,337.30,12.50,9.719,2.000,1125.6,On,3.313,Yes,10/22/2024,0.00,1.250,25,337.30,RTK Fixed,5.000,2.600,1.100,2.800,16.46,16.22,58.71,493.80,7,11637,207.81,11806,210.83,5.020,1058.3,10/22/2024
-91.55624641,45.10294889,K-3,<1>,P9492AM-PBXP,55,332.14,12.50,9.432,2.000,1125.9,On,3.216,Yes,10/22/2024,0.00,1.250,25,332.14,RTK Fixed,5.000,2.600,1.100,2.800,16.41,16.58,58.71,493.10,7,11903,212.55,12128,216.57,4.872,1055.2,10/22/2024
-91.55626652,45.10297075,K-3,<1>,P9492AM-PBXP,56,326.58,12.50,9.482,2.000,1126.1,On,3.232,Yes,10/22/2024,0.00,1.250,25,326.58,RTK Fixed,5.000,2.600,1.100,2.800,17.85,15.83,58.71,491.50,7,12992,232.00,13121,234.30,4.898,1147.5,10/22/2024
-91.55628925,45.10299154,K-3,<1>,P9492AM-PBXP,57,323.11,12.50,9.392,2.000,1126.2,On,3.202,Yes,10/22/2024,0.00,1.250,25,323.11,RTK Fixed,5.000,2.600,1.100,2.800,16.00,16.15,58.71,492.80,7,11715,209.20,11876,212.07,4.851,1028.8,10/22/2024
-91.55631410,45.10301020,K-3,<1>,P9492AM-PBXP,58,315.69,12.50,8.844,2.000,1126.5,On,3.015,Yes,10/22/2024,0.00,1.250,25,315.69,RTK Fixed,5.000,2.600,1.100,2.800,16.11,16.72,58.71,490.90,7,12437,222.09,12694,226.69,4.568,1035.5,10/22/2024
-91.55634120,45.10302691,K-3,<1>,P9492AM-PBXP,59,310.48,12.50,9.192,2.000,1126.8,On,3.134,Yes,10/22/2024,0.00,1.250,25,310.48,RTK Fixed,5.000,2.600,1.100,2.800,15.89,16.40,58.71,492.20,7,11848,211.56,12047,215.12,4.748,1021.4,10/22/2024
-91.55637134,45.10304157,K-3,<1>,P9492AM-PBXP,60,304.35,12.50,9.443,2.000,1127.0,On,3.219,Yes,10/22/2024,0.00,1.250,25,304.35,RTK Fixed,5.000,2.600,1.100,2.800,19.27,16.34,58.71,491.70,7,13997,249.95,14222,253.96,4.878,1238.7,10/22/2024
-91.55640354,45.10305440,K-3,<1>,P9492AM-PBXP,61,296.96,12.50,9.795,2.000,1127.2,On,3.339,Yes,10/22/2024,0.00,1.250,25,296.96,RTK Fixed,5.000,2.600,1.100,2.800,18.57,15.96,57.81,491.30,7,13064,233.28,13213,235.96,5.059,1193.8,10/22/2024
-91.55643512,45.10306319,K-3,<1>,P9492AM-PBXP,62,293.25,12.50,7.322,2.000,1127.4,On,2.496,Yes,10/22/2024,0.00,1.250,25,293.25,RTK Fixed,5.000,2.600,1.100,2.800,17.43,16.45,58.71,492.80,7,16312,291.28,16595,296.34,3.782,1120.7,10/22/2024
-91.55646284,45.10307033,K-3,<1>,P9492AM-PBXP,63,289.99,12.50,6.161,2.000,1127.4,On,2.100,Yes,10/22/2024,0.00,1.250,25,289.99,RTK Fixed,5.000,2.600,1.100,2.800,12.62,14.94,58.71,493.10,7,14282,255.04,14282,255.04,3.182,811.59,10/22/2024
-91.55648079,45.10307442,K-3,<1>,P9492AM-PBXP,64,287.38,12.50,5.942,2.000,1127.6,On,2.026,Yes,10/22/2024,0.00,1.250,25,287.38,RTK Fixed,5.000,2.600,1.100,2.800,13.12,17.91,58.71,496.10,7,14858,265.33,15385,274.74,3.069,843.23,10/22/2024
-91.55651051,45.10308026,K-3,<1>,P9492AM-PBXP,65,283.92,12.50,8.982,2.000,1127.7,On,3.062,Yes,10/22/2024,0.00,1.250,25,283.92,RTK Fixed,5.000,2.600,1.100,2.800,14.79,18.10,58.71,492.30,7,11060,197.51,11479,204.98,4.640,951.03,10/22/2024
-91.55654400,45.10308497,K-3,<1>,P9492AM-PBXP,66,280.93,15.00,9.057,2.000,1127.9,On,3.088,Yes,10/22/2024,0.00,0.00,25,280.93,RTK Fixed,6.000,2.600,1.100,2.800,17.41,17.59,58.71,494.10,7,10824,193.28,11165,199.37,5.614,1119.2,10/22/2024
-91.55657996,45.10308748,K-3,<1>,P9492AM-PBXP,67,274.64,15.00,9.307,2.000,1128.0,On,3.173,Yes,10/22/2024,0.00,0.00,25,274.64,RTK Fixed,6.000,2.600,1.100,2.800,18.23,17.22,58.71,491.40,7,11081,197.88,11378,203.18,5.769,1172.0,10/22/2024
-91.55661642,45.10308917,K-3,<1>,P9492AM-PBXP,68,274.94,15.00,9.113,2.000,1128.0,On,3.107,Yes,10/22/2024,0.00,0.00,25,274.94,RTK Fixed,6.000,2.600,1.100,2.800,19.02,17.98,57.81,492.30,7,11697,208.88,12122,216.46,5.649,1222.8,10/22/2024
-91.55665228,45.10308899,K-3,<1>,P9492AM-PBXP,69,269.27,15.00,8.875,2.000,1127.9,On,3.025,Yes,10/22/2024,0.00,0.00,25,269.27,RTK Fixed,6.000,2.600,1.100,2.800,19.09,17.72,58.71,490.70,7,12091,215.91,12491,223.06,5.501,1227.0,10/22/2024
-91.55668750,45.10308871,K-3,<1>,P9492AM-PBXP,70,269.92,15.00,9.132,2.000,1127.9,On,3.113,Yes,10/22/2024,0.00,0.00,25,269.92,RTK Fixed,6.000,2.600,1.100,2.800,18.93,17.91,57.81,491.30,7,11630,207.67,12042,215.04,5.660,1217.2,10/22/2024
-91.55672304,45.10308805,K-3,<1>,P9492AM-PBXP,71,268.34,15.00,9.957,2.000,1127.8,On,3.395,Yes,10/22/2024,0.00,0.00,25,268.34,RTK Fixed,6.000,2.600,1.100,2.800,16.80,17.66,57.81,490.70,7,9491.2,169.49,9797.7,174.96,6.172,1079.8,10/22/2024
-91.55675850,45.10308698,K-3,<1>,P9492AM-PBXP,72,267.04,15.00,9.272,2.000,1127.8,On,3.161,Yes,10/22/2024,0.00,0.00,25,267.04,RTK Fixed,6.000,2.600,1.100,2.800,17.43,17.22,57.81,490.60,7,10632,189.85,10916,194.94,5.747,1120.3,10/22/2024
-91.55679351,45.10308667,K-3,<1>,P9492AM-PBXP,73,268.87,15.00,9.177,2.000,1127.8,On,3.129,Yes,10/22/2024,0.00,0.00,25,268.87,RTK Fixed,6.000,2.500,1.100,2.800,16.08,17.28,57.81,491.70,7,9907.2,176.92,10180,181.78,5.688,1034.0,10/22/2024
-91.55682922,45.10308634,K-3,<1>,P9492AM-PBXP,74,269.74,15.00,8.720,2.000,1127.8,On,2.973,Yes,10/22/2024,0.00,0.00,25,269.74,RTK Fixed,6.000,2.500,1.100,2.800,17.24,16.58,57.81,493.10,7,11268,201.22,11482,205.03,5.405,1108.2,10/22/2024
-91.55686489,45.10308584,K-3,<1>,P9492AM-PBXP,75,269.45,15.00,9.522,2.000,1127.7,On,3.246,Yes,10/22/2024,0.00,0.00,25,269.45,RTK Fixed,6.000,2.500,1.100,2.800,18.53,17.22,57.81,493.20,7,11006,196.53,11300,201.79,5.902,1191.0,10/22/2024
-91.55690089,45.10308571,K-3,<1>,P9492AM-PBXP,76,269.54,15.00,9.341,2.000,1127.7,On,3.185,Yes,10/22/2024,0.00,0.00,25,269.54,RTK Fixed,6.000,2.500,1.100,2.800,17.33,16.01,57.81,494.30,7,10650,190.18,10778,192.46,5.790,1114.4,10/22/2024
-91.55693716,45.10308521,K-3,<1>,P9492AM-PBXP,77,269.52,15.00,9.412,2.000,1127.6,On,3.209,Yes,10/22/2024,0.00,0.00,25,269.52,RTK Fixed,6.000,2.500,1.100,2.800,19.26,16.58,57.81,492.80,7,11662,208.25,11883,212.20,5.834,1238.0,10/22/2024
-91.55697331,45.10308444,K-3,<1>,P9492AM-PBXP,78,268.11,15.00,8.842,2.000,1127.4,On,3.014,Yes,10/22/2024,0.00,0.00,25,268.11,RTK Fixed,6.000,2.500,1.100,2.800,18.00,16.83,57.81,492.60,7,11568,206.58,11823,211.13,5.480,1157.1,10/22/2024
-91.55700940,45.10308405,K-3,<1>,P9492AM-PBXP,79,269.40,15.00,9.474,2.000,1127.3,On,3.230,Yes,10/22/2024,0.00,0.00,25,269.40,RTK Fixed,6.000,2.500,1.100,2.800,16.85,16.33,57.81,494.50,7,10170,181.60,10331,184.48,5.872,1083.4,10/22/2024
-91.55704566,45.10308369,K-3,<1>,P9492AM-PBXP,80,268.57,15.00,8.911,2.000,1127.2,On,3.038,Yes,10/22/2024,0.00,0.00,25,268.57,RTK Fixed,6.000,2.500,1.100,2.800,16.05,16.65,57.81,493.10,7,10261,183.23,10463,186.84,5.523,1032.0,10/22/2024
-91.55708225,45.10308349,K-3,<1>,P9492AM-PBXP,81,269.69,15.00,9.735,2.000,1127.0,On,3.319,Yes,10/22/2024,0.00,0.00,25,269.69,RTK Fixed,6.000,2.500,1.100,2.800,17.36,15.81,57.81,494.70,7,10261,183.23,10360,185.00,6.034,1116.3,10/22/2024
-91.55711891,45.10308249,K-3,<1>,P9492AM-PBXP,82,268.72,15.00,9.033,2.000,1126.9,On,3.080,Yes,10/22/2024,0.00,0.00,25,268.72,RTK Fixed,6.000,2.500,1.100,2.800,18.62,16.33,57.81,495.60,7,11785,210.44,11972,213.78,5.599,1197.0,10/22/2024
-91.55715589,45.10308177,K-3,<1>,P9492AM-PBXP,83,267.04,15.00,9.981,2.000,1126.6,On,3.403,Yes,10/22/2024,0.00,0.00,25,267.04,RTK Fixed,6.000,2.500,1.100,2.800,17.34,15.75,57.81,494.50,7,9998.9,178.55,10088,180.15,6.187,1114.5,10/22/2024
-91.55719246,45.10308132,K-3,<1>,P9492AM-PBXP,84,267.83,15.00,9.336,2.000,1126.5,On,3.183,Yes,10/22/2024,0.00,0.00,25,267.83,RTK Fixed,6.000,2.500,1.100,2.800,18.03,15.44,57.81,493.00,7,11157,199.24,11215,200.27,5.787,1158.9,10/22/2024
