Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-91.57544907,45.09428385,4S North,<1>,P11A50,19,355.46,20.00,10.81,2.000,1153.3,On,3.684,Yes,10/5/2024,0.00,0.00,23,355.46,RTK Fixed,10.00,1.700,1.200,2.100,7.066,9.870,70.05,424.10,1,2848.2,47.47,2848.2,47.47,8.931,423.96,10/5/2024
-91.57545238,45.09431193,4S North,<1>,P11A50,20,355.55,20.00,9.903,2.000,1152.4,On,3.376,Yes,10/5/2024,0.00,0.00,23,355.55,RTK Fixed,10.00,1.700,1.300,2.100,6.782,9.714,70.05,423.00,1,2983.3,49.72,2983.3,49.72,8.184,406.92,10/5/2024
-91.57545577,45.09434078,4S North,<1>,P11A50,21,353.98,20.00,10.01,2.000,1151.4,On,3.412,Yes,10/5/2024,0.00,0.00,23,353.98,RTK Fixed,10.00,1.700,1.200,2.100,5.607,10.26,70.05,420.40,1,2440.5,40.68,2440.5,40.68,8.271,336.44,10/5/2024
-91.57546157,45.09436903,4S North,<1>,P11A50,22,351.91,20.00,10.52,2.000,1150.6,On,3.587,Yes,10/5/2024,0.00,0.00,21,351.91,RTK Fixed,10.00,1.800,1.300,2.300,5.367,9.754,70.05,420.30,1,2221.8,37.03,2221.8,37.03,8.696,322.02,10/5/2024
-91.57546816,45.09439754,4S North,<1>,P11A50,23,351.14,20.00,10.54,2.000,1150.0,On,3.593,Yes,10/5/2024,0.00,0.00,21,351.14,RTK Fixed,10.00,1.700,1.200,2.100,6.357,10.42,70.05,419.00,1,2627.7,43.80,2627.7,43.80,8.710,381.45,10/5/2024
-91.57547494,45.09442608,4S North,<1>,P11A50,24,351.89,20.00,11.50,2.000,1149.3,On,3.921,Yes,10/5/2024,0.00,0.00,21,351.89,RTK Fixed,10.00,1.700,1.300,2.100,5.227,9.950,70.05,419.20,1,1979.8,33.00,1979.8,33.00,9.505,313.63,10/5/2024
-91.57547909,45.09445544,4S North,<1>,P11A50,25,354.13,20.00,11.09,2.000,1148.7,On,3.781,Yes,10/5/2024,0.00,0.00,23,354.13,RTK Fixed,10.00,1.700,1.200,2.100,5.036,10.34,69.15,418.80,1,1978.1,32.97,1978.1,32.97,9.166,302.19,10/5/2024
-91.57548191,45.09448564,4S North,<1>,P11A50,26,356.55,20.00,11.01,2.000,1147.9,On,3.752,Yes,10/5/2024,0.00,0.00,23,356.55,RTK Fixed,10.00,1.700,1.200,2.100,5.397,9.799,69.15,418.90,1,2135.8,35.60,2135.8,35.60,9.097,323.82,10/5/2024
-91.57548393,45.09451723,4S North,<1>,P11A50,27,358.23,20.00,11.13,2.000,1147.0,On,3.796,Yes,10/5/2024,0.00,0.00,21,358.23,RTK Fixed,10.00,1.700,1.200,2.100,5.436,10.42,69.15,419.20,1,2126.7,35.45,2126.7,35.45,9.202,326.18,10/5/2024
-91.57548536,45.09454803,4S North,<1>,P11A50,28,357.46,20.00,12.20,2.000,1146.3,On,4.158,Yes,10/5/2024,0.00,0.00,23,357.46,RTK Fixed,10.00,1.700,1.200,2.100,5.751,10.82,69.15,419.20,1,2053.8,34.23,2053.8,34.23,10.08,345.06,10/5/2024
-91.57548608,45.09457859,4S North,<1>,P11A50,29,359.01,20.00,11.42,2.000,1145.7,On,3.895,Yes,10/5/2024,0.00,0.00,22,359.01,RTK Fixed,10.00,1.700,1.300,2.100,4.899,10.07,69.15,419.40,1,1867.9,31.13,1867.9,31.13,9.442,293.94,10/5/2024
-91.57548794,45.09460600,4S North,<1>,P11A50,30,357.38,20.00,5.484,2.000,1145.0,On,1.870,Yes,10/5/2024,0.00,0.00,23,357.38,RTK Fixed,10.00,1.700,1.200,2.100,2.816,10.39,69.15,420.70,1,2236.7,37.28,2236.7,37.28,4.533,168.97,10/5/2024
-91.57548726,45.09460941,4S North,<1>,P11A50,31,359.56,20.00,1.190,2.000,1145.1,On,0.406,Yes,10/5/2024,0.00,0.00,25,358.17,RTK Fixed,10.00,1.700,1.200,2.100,0.911,10.54,69.15,421.00,1,3334.2,55.57,3334.2,55.57,0.984,54.66,10/5/2024
-91.57548812,45.09462081,4S North,<1>,P11A50,32,357.18,20.00,6.015,2.000,1145.0,On,2.051,Yes,10/5/2024,0.00,0.00,24,357.18,RTK Fixed,10.00,1.700,1.200,2.100,2.257,10.85,68.25,420.50,1,1634.3,27.24,1634.3,27.24,4.971,135.40,10/5/2024
-91.57548847,45.09463806,4S North,<1>,P11A50,33,359.66,20.00,9.141,2.000,1144.7,On,3.116,Yes,10/5/2024,0.00,0.00,24,359.66,RTK Fixed,10.00,1.700,1.200,2.100,3.797,11.01,68.25,421.20,1,1809.6,30.16,1809.6,30.16,7.554,227.84,10/5/2024
-91.57548813,45.09466311,4S North,<1>,P11A50,34,1.696,20.00,10.21,2.000,1144.4,On,3.482,Yes,10/5/2024,0.00,0.00,23,1.696,RTK Fixed,10.00,1.700,1.200,2.100,4.280,11.05,68.25,420.70,1,1825.5,30.42,1825.5,30.42,8.440,256.78,10/5/2024
-91.57548660,45.09469226,4S North,<1>,P11A50,35,0.776,20.00,11.61,2.000,1143.6,On,3.959,Yes,10/5/2024,0.00,0.00,23,0.776,RTK Fixed,10.00,1.700,1.200,2.100,5.290,10.26,68.25,421.60,1,1984.3,33.07,1984.3,33.07,9.597,317.38,10/5/2024
-91.57548497,45.09472249,4S North,<1>,P11A50,36,0.870,20.00,9.833,2.000,1143.1,On,3.352,Yes,10/5/2024,0.00,0.00,24,0.870,RTK Fixed,10.00,1.700,1.200,2.100,6.151,10.81,68.25,419.70,1,2724.6,45.41,2724.6,45.41,8.127,369.03,10/5/2024
-91.57548576,45.09475256,4S North,<1>,P11A50,37,359.40,20.00,10.48,2.000,1142.5,On,3.574,Yes,10/5/2024,0.00,0.00,23,359.40,RTK Fixed,10.00,1.700,1.300,2.100,6.036,10.38,68.25,417.80,1,2508.3,41.80,2508.3,41.80,8.663,362.16,10/5/2024
-91.57548668,45.09478203,4S North,<1>,P11A50,38,359.12,20.00,11.24,2.000,1142.0,On,3.833,Yes,10/5/2024,0.00,0.00,23,359.12,RTK Fixed,10.00,1.700,1.200,2.100,5.888,10.93,67.53,415.90,1,2281.6,38.03,2281.6,38.03,9.291,353.31,10/5/2024
-91.57548741,45.09481116,4S North,<1>,P11A50,39,0.299,20.00,10.11,2.000,1141.4,On,3.446,Yes,10/5/2024,0.00,0.00,25,0.299,RTK Fixed,10.00,1.700,1.200,2.100,5.809,11.20,67.53,415.80,1,2503.0,41.72,2503.0,41.72,8.354,348.51,10/5/2024
-91.57548761,45.09484053,4S North,<1>,P11A50,40,359.40,20.00,10.20,2.000,1141.1,On,3.477,Yes,10/5/2024,0.00,0.00,21,359.40,RTK Fixed,10.00,1.700,1.200,2.100,5.610,10.70,67.53,416.20,1,2395.8,39.93,2395.8,39.93,8.430,336.60,10/5/2024
-91.57548886,45.09486972,4S North,<1>,P11A50,41,357.27,20.00,10.61,2.000,1140.6,On,3.618,Yes,10/5/2024,0.00,0.00,24,357.27,RTK Fixed,10.00,1.700,1.200,2.100,6.202,11.24,67.53,414.20,1,2545.3,42.42,2545.3,42.42,8.771,372.10,10/5/2024
-91.57549136,45.09489935,4S North,<1>,P11A50,42,357.47,20.00,11.33,2.000,1140.5,On,3.862,Yes,10/5/2024,0.00,0.00,22,357.47,RTK Fixed,10.00,1.700,1.200,2.100,6.391,10.58,67.53,414.70,1,2457.1,40.95,2457.1,40.95,9.363,383.45,10/5/2024
-91.57549280,45.09493019,4S North,<1>,P11A50,43,359.19,20.00,11.45,2.000,1140.3,On,3.905,Yes,10/5/2024,0.00,0.00,26,359.19,RTK Fixed,10.00,1.700,1.200,2.100,6.570,11.20,67.53,415.70,1,2498.5,41.64,2498.5,41.64,9.466,394.17,10/5/2024
-91.57549304,45.09496088,4S North,<1>,P11A50,44,0.564,20.00,11.42,2.000,1140.1,On,3.895,Yes,10/5/2024,0.00,0.00,23,0.564,RTK Fixed,10.00,1.800,1.300,2.300,6.079,10.93,67.53,413.10,1,2317.9,38.63,2317.9,38.63,9.442,364.76,10/5/2024
-91.57549279,45.09499146,4S North,<1>,P11A50,45,1.475,20.00,10.93,2.000,1140.0,On,3.728,Yes,10/5/2024,0.00,0.00,22,1.475,RTK Fixed,10.00,1.800,1.300,2.300,6.110,10.97,67.53,411.70,1,2434.2,40.57,2434.2,40.57,9.037,366.61,10/5/2024
-91.57549255,45.09502224,4S North,<1>,P11A50,46,1.327,20.00,10.70,2.000,1140.1,On,3.649,Yes,10/5/2024,0.00,0.00,23,1.327,RTK Fixed,10.00,1.700,1.200,2.100,5.925,11.16,67.53,413.60,1,2411.4,40.19,2411.4,40.19,8.845,355.49,10/5/2024
-91.57549330,45.09505288,4S North,<1>,P11A50,47,0.595,20.00,10.46,2.000,1140.1,On,3.567,Yes,10/5/2024,0.00,0.00,24,0.595,RTK Fixed,10.00,1.700,1.200,2.100,5.954,10.58,67.53,413.00,1,2478.4,41.31,2478.4,41.31,8.648,357.22,10/5/2024
-91.57549403,45.09508354,4S North,<1>,P11A50,48,358.13,20.00,11.78,2.000,1140.2,On,4.015,Yes,10/5/2024,0.00,0.00,27,358.13,RTK Fixed,10.00,1.700,1.200,2.100,6.233,11.05,67.53,412.30,1,2305.7,38.43,2305.7,38.43,9.733,374.00,10/5/2024
-91.57549442,45.09511379,4S North,<1>,P11A50,49,359.48,20.00,10.77,2.000,1140.3,On,3.672,Yes,10/5/2024,0.00,0.00,23,359.48,RTK Fixed,10.00,1.700,1.200,2.100,6.502,10.54,67.53,412.50,1,2629.3,43.82,2629.3,43.82,8.903,390.13,10/5/2024
-91.57549414,45.09514381,4S North,<1>,P11A50,50,0.444,20.00,10.93,2.000,1140.6,On,3.726,Yes,10/5/2024,0.00,0.00,24,0.444,RTK Fixed,10.00,1.700,1.200,2.100,6.573,10.86,67.53,412.20,1,2619.5,43.66,2619.5,43.66,9.034,394.40,10/5/2024
-91.57549468,45.09517438,4S North,<1>,P11A50,51,359.00,20.00,11.91,2.000,1140.8,On,4.061,Yes,10/5/2024,0.00,0.00,23,359.00,RTK Fixed,10.00,1.700,1.200,2.100,6.217,10.35,67.53,411.00,1,2273.3,37.89,2273.3,37.89,9.845,373.03,10/5/2024
-91.57549474,45.09520520,4S North,<1>,P11A50,52,0.159,20.00,11.06,2.000,1140.9,On,3.771,Yes,10/5/2024,0.00,0.00,23,0.159,RTK Fixed,10.00,1.700,1.200,2.100,5.376,10.94,67.53,411.90,1,2117.0,35.28,2117.0,35.28,9.142,322.57,10/5/2024
-91.57549393,45.09523570,4S North,<1>,P11A50,53,0.816,20.00,11.54,2.000,1141.1,On,3.935,Yes,10/5/2024,0.00,0.00,25,0.816,RTK Fixed,10.00,1.700,1.200,2.100,5.520,11.01,67.53,412.60,1,2083.0,34.72,2083.0,34.72,9.540,331.19,10/5/2024
-91.57549264,45.09526695,4S North,<1>,P11A50,54,360.00,20.00,11.70,2.000,1141.1,On,3.988,Yes,10/5/2024,0.00,0.00,23,360.00,RTK Fixed,10.00,1.700,1.200,2.100,6.059,10.54,67.53,414.10,1,2256.1,37.60,2256.1,37.60,9.668,363.53,10/5/2024
-91.57549252,45.09529829,4S North,<1>,P11A50,55,359.53,20.00,11.32,2.000,1140.9,On,3.858,Yes,10/5/2024,0.00,0.00,26,359.53,RTK Fixed,10.00,1.700,1.200,2.100,6.494,10.98,66.63,413.90,1,2499.7,41.66,2499.7,41.66,9.353,389.67,10/5/2024
-91.57549275,45.09532960,4S North,<1>,P11A50,56,359.12,20.00,11.18,2.000,1140.7,On,3.811,Yes,10/5/2024,0.00,0.00,24,359.12,RTK Fixed,10.00,1.700,1.200,2.100,5.690,10.62,66.63,414.20,1,2216.7,36.95,2216.7,36.95,9.240,341.37,10/5/2024
-91.57549174,45.09536133,4S North,<1>,P11A50,57,1.678,20.00,11.32,2.000,1140.3,On,3.860,Yes,10/5/2024,0.00,0.00,22,1.678,RTK Fixed,10.00,1.700,1.200,2.100,4.930,10.94,66.63,412.50,1,1896.8,31.61,1896.8,31.61,9.357,295.83,10/5/2024
-91.57548918,45.09539594,4S North,<1>,P11A50,58,3.024,20.00,11.40,2.000,1139.3,On,3.885,Yes,10/5/2024,0.00,0.00,24,3.024,RTK Fixed,10.00,1.700,1.200,2.100,4.949,11.36,66.63,415.60,1,1891.4,31.52,1891.4,31.52,9.419,296.92,10/5/2024
-91.57548443,45.09542737,4S North,<1>,P11A50,59,6.956,20.00,12.51,2.000,1138.5,On,4.264,Yes,10/5/2024,0.00,0.00,24,6.956,RTK Fixed,10.00,1.700,1.200,2.100,5.807,11.64,66.63,415.60,1,2022.5,33.71,2022.5,33.71,10.34,348.42,10/5/2024
-91.57547731,45.09545971,4S North,<1>,P11A50,60,9.725,20.00,12.00,2.000,1137.9,On,4.090,Yes,10/5/2024,0.00,0.00,23,9.725,RTK Fixed,10.00,1.700,1.200,2.100,5.472,12.00,66.63,419.00,1,1986.7,33.11,1986.7,33.11,9.915,328.29,10/5/2024
-91.57546538,45.09549055,4S North,<1>,P11A50,61,16.45,20.00,11.89,2.000,1137.4,On,4.052,Yes,10/5/2024,0.00,0.00,24,16.45,RTK Fixed,10.00,1.700,1.200,2.100,5.638,12.08,66.63,417.60,1,2066.1,34.44,2066.1,34.44,9.823,338.25,10/5/2024
-91.57544767,45.09551966,4S North,<1>,P11A50,62,25.18,20.00,12.37,2.000,1137.0,On,4.217,Yes,10/5/2024,0.00,0.00,25,25.18,RTK Fixed,10.00,1.700,1.200,2.100,5.677,12.08,66.63,416.50,1,1999.2,33.32,1999.2,33.32,10.22,340.60,10/5/2024
-91.57541944,45.09554586,4S North,<1>,P11A50,63,38.12,20.00,12.26,2.000,1136.2,On,4.181,Yes,10/5/2024,0.00,0.00,25,38.12,RTK Fixed,10.00,1.700,1.200,2.100,4.623,12.15,66.63,416.00,1,1642.3,27.37,1642.3,27.37,10.13,277.41,10/5/2024
-91.57538913,45.09556238,4S North,<1>,P11A50,64,53.75,20.00,9.108,2.000,1135.8,On,3.105,Yes,10/5/2024,0.00,0.00,25,53.75,RTK Fixed,10.00,1.700,1.200,2.100,4.981,11.73,66.63,420.20,1,2382.4,39.71,2382.4,39.71,7.527,298.88,10/5/2024
-91.57535715,45.09557060,4S North,<1>,P11A50,65,72.67,20.00,9.104,2.000,1135.6,On,3.104,Yes,10/5/2024,0.00,0.00,27,72.67,RTK Fixed,10.00,1.400,0.900,1.700,5.699,10.55,66.63,418.00,1,2726.7,45.44,2726.7,45.44,7.524,341.94,10/5/2024
-91.57532279,45.09557375,4S North,<1>,P11A50,66,82.53,20.00,8.215,2.000,1135.5,On,2.801,Yes,10/5/2024,0.00,0.00,28,82.53,RTK Fixed,10.00,1.400,0.900,1.700,5.998,10.90,65.73,417.60,1,3180.5,53.01,3180.5,53.01,6.789,359.88,10/5/2024
-91.57528410,45.09557575,4S North,<1>,P11A50,67,85.44,20.00,11.52,2.000,1135.8,On,3.926,Yes,10/5/2024,0.00,0.00,28,85.44,RTK Fixed,10.00,1.400,0.900,1.700,7.311,11.14,65.73,412.20,1,2765.0,46.08,2765.0,46.08,9.519,438.65,10/5/2024
-91.57524076,45.09557726,4S North,<1>,P11A50,68,87.95,20.00,11.11,2.000,1135.9,On,3.789,Yes,10/5/2024,0.00,0.00,28,87.95,RTK Fixed,10.00,1.400,0.900,1.700,8.035,10.63,65.73,410.60,1,3148.9,52.48,3148.9,52.48,9.186,482.08,10/5/2024
-91.57519727,45.09557806,4S North,<1>,P11A50,69,89.36,20.00,11.39,2.000,1135.9,On,3.883,Yes,10/5/2024,0.00,0.00,28,89.36,RTK Fixed,10.00,1.400,0.900,1.700,8.497,10.67,65.73,407.50,1,3249.6,54.16,3249.6,54.16,9.413,509.82,10/5/2024
-91.57515471,45.09557757,4S North,<1>,P11A50,70,91.03,20.00,11.07,2.000,1136.3,On,3.774,Yes,10/5/2024,0.00,0.00,29,91.03,RTK Fixed,10.00,1.400,0.900,1.700,8.276,10.67,65.73,406.80,1,3256.7,54.28,3256.7,54.28,9.148,496.55,10/5/2024
-91.57511131,45.09557750,4S North,<1>,P11A50,71,90.48,20.00,11.08,2.000,1136.4,On,3.778,Yes,10/5/2024,0.00,0.00,29,90.48,RTK Fixed,10.00,1.400,0.900,1.700,8.809,10.28,65.73,407.30,1,3462.6,57.71,3462.6,57.71,9.159,528.54,10/5/2024
-91.57506740,45.09557755,4S North,<1>,P11A50,72,89.66,20.00,11.51,2.000,1136.5,On,3.925,Yes,10/5/2024,0.00,0.00,29,89.66,RTK Fixed,10.00,1.400,0.900,1.700,8.609,10.67,65.73,406.30,1,3257.0,54.28,3257.0,54.28,9.516,516.54,10/5/2024
-91.57502320,45.09557717,4S North,<1>,P11A50,73,91.11,20.00,11.75,2.000,1136.4,On,4.006,Yes,10/5/2024,0.00,0.00,29,91.11,RTK Fixed,10.00,1.400,0.900,1.700,8.089,9.925,65.73,406.00,1,2998.7,49.98,2998.7,49.98,9.711,485.36,10/5/2024
-91.57497878,45.09557681,4S North,<1>,P11A50,74,90.49,20.00,11.67,2.000,1136.2,On,3.979,Yes,10/5/2024,0.00,0.00,29,90.49,RTK Fixed,10.00,1.400,0.900,1.700,8.529,10.51,65.73,406.80,1,3183.3,53.06,3183.3,53.06,9.645,511.73,10/5/2024
-91.57493422,45.09557671,4S North,<1>,P11A50,75,90.52,20.00,11.39,2.000,1135.9,On,3.884,Yes,10/5/2024,0.00,0.00,30,90.52,RTK Fixed,10.00,1.400,0.900,1.700,9.011,10.39,65.73,405.50,1,3445.6,57.43,3445.6,57.43,9.415,540.66,10/5/2024
-91.57488919,45.09557682,4S North,<1>,P11A50,76,89.89,20.00,11.84,2.000,1135.4,On,4.037,Yes,10/5/2024,0.00,0.00,29,89.89,RTK Fixed,10.00,1.400,0.900,1.700,9.501,10.08,65.73,408.10,1,3494.9,58.25,3494.9,58.25,9.787,570.06,10/5/2024
-91.57484518,45.09557708,4S North,<1>,P11A50,77,89.62,20.00,11.25,2.000,1135.1,On,3.836,Yes,10/5/2024,0.00,0.00,30,89.62,RTK Fixed,10.00,1.400,0.900,1.700,9.936,9.769,65.73,408.00,1,3846.1,64.10,3846.1,64.10,9.300,596.16,10/5/2024
-91.57480302,45.09557685,4S North,<1>,P11A50,78,90.78,20.00,10.36,2.000,1134.8,On,3.531,Yes,10/5/2024,0.00,0.00,29,90.78,RTK Fixed,10.00,1.400,0.900,1.700,9.180,10.08,65.73,407.40,1,3860.4,64.34,3860.4,64.34,8.561,550.78,10/5/2024
-91.57476175,45.09557652,4S North,<1>,P11A50,79,90.40,20.00,10.66,2.000,1134.6,On,3.633,Yes,10/5/2024,0.00,0.00,29,90.40,RTK Fixed,10.00,1.400,0.900,1.700,8.642,9.653,65.73,402.50,1,3533.1,58.89,3533.1,58.89,8.806,518.55,10/5/2024
-91.57471980,45.09557544,4S North,<1>,P11A50,80,92.15,20.00,11.02,2.000,1134.3,On,3.757,Yes,10/5/2024,0.00,0.00,29,92.15,RTK Fixed,10.00,1.400,0.900,1.700,9.307,10.08,65.73,407.80,1,3678.3,61.31,3678.3,61.31,9.109,558.43,10/5/2024
-91.57467783,45.09557417,4S North,<1>,P11A50,81,92.16,20.00,10.89,2.000,1134.2,On,3.711,Yes,10/5/2024,0.00,0.00,30,92.16,RTK Fixed,10.00,1.400,0.900,1.700,8.913,9.653,65.73,409.60,1,3566.8,59.45,3566.8,59.45,8.996,534.79,10/5/2024
-91.57463591,45.09557402,4S North,<1>,P11A50,82,90.85,20.00,10.82,2.000,1134.0,On,3.689,Yes,10/5/2024,0.00,0.00,29,90.85,RTK Fixed,10.00,1.400,0.900,1.700,8.523,10.04,65.73,409.40,1,3430.7,57.18,3430.7,57.18,8.943,511.36,10/5/2024
-91.57459367,45.09557358,4S North,<1>,P11A50,83,89.65,20.00,11.31,2.000,1134.0,On,3.856,Yes,10/5/2024,0.00,0.00,30,89.65,RTK Fixed,10.00,1.400,0.900,1.700,8.362,9.653,65.73,408.40,1,3220.0,53.67,3220.0,53.67,9.348,501.70,10/5/2024
-91.57455087,45.09557330,4S North,<1>,P11A50,84,91.33,20.00,10.95,2.000,1133.9,On,3.731,Yes,10/5/2024,0.00,0.00,30,91.33,RTK Fixed,10.00,1.400,0.900,1.700,9.417,10.04,65.73,409.70,1,3747.7,62.46,3747.7,62.46,9.046,565.01,10/5/2024
-91.57450786,45.09557301,4S North,<1>,P11A50,85,90.59,20.00,11.20,2.000,1133.8,On,3.819,Yes,10/5/2024,0.00,0.00,29,90.59,RTK Fixed,10.00,1.400,0.900,1.700,8.282,9.729,65.73,409.20,1,3220.4,53.67,3220.4,53.67,9.258,496.92,10/5/2024
-91.57446468,45.09557205,4S North,<1>,P11A50,86,91.00,20.00,11.29,2.000,1133.8,On,3.849,Yes,10/5/2024,0.00,0.00,29,91.00,RTK Fixed,10.00,1.400,0.900,1.700,8.654,10.01,65.73,406.10,1,3339.2,55.65,3339.2,55.65,9.330,519.26,10/5/2024
